agency_raw_name,trip_id,tod,direction_id,trip_num,headway_secs,start_time,end_time
The Bus,t_1962816_b_33141_tn_7,MD,0,5.0,3600,10:00:00,15:00:00
The Bus,t_1962816_b_33141_tn_11,PM,0,4.0,3600,15:00:00,19:00:00
The Bus,t_1962816_b_33141_tn_1,AM,0,4.0,3600,06:00:00,10:00:00
The Bus,t_1962822_b_33141_tn_1,AM,0,5.0,2880,06:00:00,10:00:00
The Bus,t_1962822_b_33141_tn_10,PM,0,4.0,3600,15:00:00,19:00:00
The Bus,t_1962822_b_33141_tn_4,MD,0,5.0,3600,10:00:00,15:00:00
The Bus,t_1962843_b_33141_tn_1,AM,0,10.0,1440,06:00:00,10:00:00
The Bus,t_1962843_b_33141_tn_10,MD,0,10.0,1800,10:00:00,15:00:00
The Bus,t_1962843_b_33141_tn_18,PM,0,7.0,2057,15:00:00,19:00:00
The Bus,t_1962848_b_33141_tn_0,NT,0,1.0,10800,19:00:00,03:00:00
The Bus,t_1962858_b_33141_tn_22,PM,0,8.0,1800,15:00:00,19:00:00
The Bus,t_1962858_b_33141_tn_1,AM,0,8.0,1800,06:00:00,10:00:00
The Bus,t_1962858_b_33141_tn_10,MD,0,10.0,1800,10:00:00,15:00:00
The Bus,t_1962860_b_33141_tn_1,NT,0,2.0,5400,19:00:00,03:00:00
The Bus,t_1962863_b_33141_tn_18,PM,0,8.0,1800,15:00:00,19:00:00
The Bus,t_1962863_b_33141_tn_2,AM,0,10.0,1440,06:00:00,10:00:00
The Bus,t_1962863_b_33141_tn_8,MD,0,10.0,1800,10:00:00,15:00:00
The Bus,t_1962872_b_33141_tn_2,NT,0,2.0,5400,19:00:00,03:00:00
The Bus,t_1962875_b_33141_tn_1,AM,0,10.0,1440,06:00:00,10:00:00
The Bus,t_1962875_b_33141_tn_10,MD,0,10.0,1800,10:00:00,15:00:00
The Bus,t_1962875_b_33141_tn_19,PM,0,9.0,1600,15:00:00,19:00:00
The Bus,t_1962878_b_33141_tn_0,NT,0,1.0,10800,19:00:00,03:00:00
The Bus,t_1962896_b_33141_tn_16,MD,0,10.0,1800,10:00:00,15:00:00
The Bus,t_1962896_b_33141_tn_7,AM,0,7.0,2057,06:00:00,10:00:00
The Bus,t_1962896_b_33141_tn_25,PM,0,8.0,1800,15:00:00,19:00:00
The Bus,t_1962895_b_33141_tn_2,NT,0,2.0,5400,19:00:00,03:00:00
The Bus,t_1962894_b_33141_tn_0,EA,0,1.0,3600,03:00:00,06:00:00
The Bus,t_1962905_b_33141_tn_2,AM,0,4.0,3600,06:00:00,10:00:00
The Bus,t_1962905_b_33141_tn_4,MD,0,7.0,2571,10:00:00,15:00:00
The Bus,t_1962905_b_33141_tn_11,PM,0,5.0,2880,15:00:00,19:00:00
The Bus,t_1962905_b_33141_tn_16,NT,0,2.0,5400,19:00:00,03:00:00
The Bus,t_1962813_b_33141_tn_4,AM,0,7.0,2057,06:00:00,10:00:00
The Bus,t_1962813_b_33141_tn_10,MD,0,8.0,2250,10:00:00,15:00:00
The Bus,t_1962813_b_33141_tn_14,PM,0,6.0,2400,15:00:00,19:00:00
The Bus,t_1962815_b_33141_tn_0,NT,0,1.0,10800,19:00:00,03:00:00
The Bus,t_1963097_b_33141_tn_0,AM,0,3.0,4800,06:00:00,10:00:00
The Bus,t_1963099_b_33141_tn_0,MD,0,3.0,6000,10:00:00,15:00:00
The Bus,t_1963102_b_33141_tn_0,PM,0,3.0,4800,15:00:00,19:00:00
The Bus,t_1963112_b_33141_tn_0,NT,1,1.0,10800,19:00:00,03:00:00
The Bus,t_1963106_b_33141_tn_0,AM,1,3.0,4800,06:00:00,10:00:00
The Bus,t_1963108_b_33141_tn_0,MD,1,3.0,6000,10:00:00,15:00:00
The Bus,t_1963111_b_33141_tn_0,PM,1,2.0,7200,15:00:00,19:00:00
The Bus,t_1962893_b_33141_tn_1,PM,0,2.0,7200,15:00:00,19:00:00
The Bus,t_1962889_b_33141_tn_0,AM,0,2.0,7200,06:00:00,10:00:00
The Bus,t_1962890_b_33141_tn_0,MD,0,1.0,18000,10:00:00,15:00:00
The Bus,t_1962893_b_33141_tn_2,NT,0,1.0,10800,19:00:00,03:00:00
The Bus,t_1962869_b_33141_tn_10,PM,0,4.0,3600,15:00:00,19:00:00
The Bus,t_1962869_b_33141_tn_1,AM,0,5.0,2880,06:00:00,10:00:00
The Bus,t_1962869_b_33141_tn_5,MD,0,5.0,3600,10:00:00,15:00:00
The Bus,t_1962877_b_33141_tn_0,NT,0,1.0,10800,19:00:00,03:00:00
The Bus,t_1962832_b_33141_tn_2,AM,0,5.0,2880,06:00:00,10:00:00
The Bus,t_1962833_b_33141_tn_1,MD,0,4.0,4500,10:00:00,15:00:00
The Bus,t_1962842_b_33141_tn_1,PM,0,4.0,3600,15:00:00,19:00:00
The Bus,t_1962845_b_33141_tn_0,NT,0,1.0,10800,19:00:00,03:00:00
The Bus,t_1962907_b_33141_tn_0,EA,0,1.0,3600,03:00:00,06:00:00
The Bus,t_1963139_b_33141_tn_0,PM,0,3.0,4800,15:00:00,19:00:00
The Bus,t_1963142_b_33141_tn_0,NT,0,1.0,10800,19:00:00,03:00:00
The Bus,t_1963133_b_33141_tn_0,AM,0,3.0,4800,06:00:00,10:00:00
The Bus,t_1963134_b_33141_tn_0,MD,0,3.0,6000,10:00:00,15:00:00
The Bus,t_1963123_b_33141_tn_0,MD,1,3.0,6000,10:00:00,15:00:00
The Bus,t_1963130_b_33141_tn_0,NT,1,1.0,10800,19:00:00,03:00:00
The Bus,t_1963131_b_33141_tn_0,AM,1,3.0,4800,06:00:00,10:00:00
The Bus,t_1963125_b_33141_tn_0,PM,1,3.0,4800,15:00:00,19:00:00
The Bus,t_1962806_b_33141_tn_0,NT,0,1.0,10800,19:00:00,03:00:00
The Bus,t_1962805_b_33141_tn_7,MD,0,5.0,3600,10:00:00,15:00:00
The Bus,t_1962805_b_33141_tn_8,PM,0,4.0,3600,15:00:00,19:00:00
The Bus,t_1962807_b_33141_tn_1,AM,0,4.0,3600,06:00:00,10:00:00
