trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time,agency_raw_name
t_1962805_b_33141_tn_7,00:00:00,00:00:00,768525,1,,0,0,0.0,0,,,,,1,1,,,,,,,,,,,,The Bus
t_1962805_b_33141_tn_7,,,768490,2,,0,0,1034.51070906388,0,,,,,1,1,,,,,,,,,,,,The Bus
t_1962805_b_33141_tn_7,,,768499,3,,0,0,1629.5773764044,0,,,,,1,1,,,,,,,,,,,,The Bus
t_1962805_b_33141_tn_7,,,768553,4,,0,0,2116.28534515233,0,,,,,1,1,,,,,,,,,,,,The Bus
t_1962805_b_33141_tn_7,,,768547,5,,0,0,2492.4418579215,0,,,,,1,1,,,,,,,,,,,,The Bus
t_1962805_b_33141_tn_7,,,768533,6,,0,0,2991.91084108424,0,,,,,1,1,,,,,,,,,,,,The Bus
t_1962805_b_33141_tn_7,,,768502,7,,0,0,3291.56824046635,0,,,,,1,1,,,,,,,,,,,,The Bus
t_1962805_b_33141_tn_7,,,768523,8,,0,0,3534.87654237241,0,,,,,1,1,,,,,,,,,,,,The Bus
t_1962805_b_33141_tn_7,,,768529,9,,0,0,3847.50881369658,0,,,,,1,1,,,,,,,,,,,,The Bus
t_1962805_b_33141_tn_7,00:13:00,00:13:00,768322,10,,0,0,4535.83578466091,0,,,,,1,1,,,,,,,,,,,,The Bus
t_1962805_b_33141_tn_7,00:18:00,00:18:00,768208,11,,0,0,7858.76390161941,0,,,,,1,1,,,,,,,,,,,,The Bus
t_1962805_b_33141_tn_7,,,768209,12,,0,0,8943.31685728372,0,,,,,1,1,,,,,,,,,,,,The Bus
t_1962805_b_33141_tn_7,,,768394,13,,0,0,14099.3218629033,0,,,,,1,1,,,,,,,,,,,,The Bus
t_1962805_b_33141_tn_7,,,768379,14,,0,0,14625.1155795125,0,,,,,1,1,,,,,,,,,,,,The Bus
t_1962805_b_33141_tn_7,,,768383,15,,0,0,15239.7879602943,0,,,,,1,1,,,,,,,,,,,,The Bus
t_1962805_b_33141_tn_7,,,768380,16,,0,0,15450.1001995886,0,,,,,1,1,,,,,,,,,,,,The Bus
t_1962805_b_33141_tn_7,,,768402,17,,0,0,15724.7996794841,0,,,,,1,1,,,,,,,,,,,,The Bus
