stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1,7014,SJ CNTY HOSPITAL,,37.886477,-121.281061,,,,
7,3073,EL DORADO ST & HOSPITAL RD FS/NB,,37.885836,-121.276424,,,,
8,3074,EL DORADO & FRENCH CAMP NS/NB,EL DORADO ST & FRENCH CAMP RD,37.889235,-121.276482,,,,
9,3075,EL DORADO @ 5544 EL DORADO MB/NB,EL DORADO ST & 5544 EL DORADO ST,37.897444,-121.275762,,,,
10,3076,EL DORADO @ WESTERN LUMBER MB/NB,EL DORADO ST & WESTERN LUMBER,37.905215,-121.275695,,,,
11,3077,CLAYTON & HARVEY NS/WB,CLAYTON AVE & HARVEY AVE,37.910934,-121.277408,,,,
12,7026,CLAYTON & ODELL NS WB,,37.910184,-121.280175,,,,
15,3079,DOWNING & MOURFIELD FS/EB,DOWNING AVE & MOURFIELD AVE,37.913895,-121.284046,,,,
18,3080,ODELL & HORTON FS/NB,ODELL AVE & HORTON AVE,37.921202,-121.284727,,,,
21,3082,MOSSWOOD & EL DORADO NS/NB,MOSSWOOD AVE & EL DORADO ST,37.924531,-121.281111,,,,
22,3083,EL DORADO & NINTH ST FS/NB,EL DORADO ST & NINTH ST,37.927002,-121.281973,,,,
23,3119,8TH & SAN JOAQUIN FS/WB,8TH ST & SAN JOAQUIN ST,37.929287,-121.280584,,,,
24,3085,SAN JOAQUIN & 6TH NS/NB,SAN JOAQUIN ST & 6TH ST,37.93182,-121.281332,,,,
25,3086,SAN JOAQUIN & 4TH FS/ NB,SAN JOAQUIN ST & 4TH ST,37.934399,-121.282034,,,,
26,3087,SAN JOAQUIN & 2ND NS/NB,SAN JOAQUIN ST & 2ND ST,37.936825,-121.282701,,,,
27,7027,SAN JOAQUIN ST & CLAY ST FS NB,,37.940522,-121.283651,,,,
29,3088,SAN JOAQUIN & ANDERSON NS/NB,SAN JOAQUIN ST & ANDERSON ST,37.943231,-121.284415,,,,
31,3090,SAN JOAQUIN & HAZELTON FS/NB,SAN JOAQUIN ST & HAZELTON AVE,37.947255,-121.285532,,,,
54,3091,ALVARADO & ALPINE FS/NB,ALVARADO AVE & ALPINE AVE,37.983817,-121.28964,,,,
