;A,B,AM_TIME_B,MD_TIME_B,PM_TIME_B,NT_TIME_B
30001,30002,17,17,17,17
30002,30003,12,12,12,12
30003,30004,60,60,60,60
30011,30012,41,41,41,41
30012,30013,28,28,28,28
30013,30014,25,25,25,25
30013,30015,25,25,25,25
30015,30016,60,60,60,60
30014,30017,60,60,60,60
30011,30018,60,60,60,60
40041,14289,28,28,28,28
40042,13787,25,25,25,25
40033,17286,25,25,25,25
40031,13042,25,25,25,25
40035,13131,25,25,25,25
40034,15873,25,25,25,25
40032,17610,25,25,25,25
40039,16856,25,25,25,25
40038,13766,25,25,25,25
40037,16937,25,25,25,25
40036,16492,25,25,25,25
40040,14135,25,25,25,25
40022,24587,25,25,25,25
40021,23681,25,25,25,25
30002,30001,17,17,17,17
30003,30002,12,12,12,12
30004,30003,60,60,60,60
30012,30011,41,41,41,41
30013,30012,28,28,28,28
30014,30013,25,25,25,25
30015,30013,25,25,25,25
30016,30015,60,60,60,60
30017,30014,60,60,60,60
30018,30011,60,60,60,60
14289,40041,28,28,28,28
13787,40042,25,25,25,25
17286,40033,25,25,25,25
13042,40031,25,25,25,25
13131,40035,25,25,25,25
15873,40034,25,25,25,25
17610,40032,25,25,25,25
16856,40039,25,25,25,25
13766,40038,25,25,25,25
16937,40037,25,25,25,25
16492,40036,25,25,25,25
14135,40040,25,25,25,25
24587,40022,25,25,25,25
23681,40021,25,25,25,25
