trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,agency_raw_name
201382,00:00:00,00:00:00,3179,1,,0,0,,sjrtd_2015_0127
201382,00:05:10,00:05:10,2691,2,,0,0,1.3345,sjrtd_2015_0127
201382,00:06:11,00:06:11,2692,3,,0,0,1.5979,sjrtd_2015_0127
201382,00:08:28,00:08:28,2693,4,,0,0,2.1881,sjrtd_2015_0127
201382,00:09:49,00:09:49,2694,5,,0,0,2.5381,sjrtd_2015_0127
201382,00:10:59,00:10:59,2695,6,,0,0,2.8414,sjrtd_2015_0127
201382,00:13:03,00:13:03,2696,7,,0,0,3.377,sjrtd_2015_0127
201382,00:16:20,00:16:20,2789,8,,0,0,4.2248,sjrtd_2015_0127
201382,00:18:49,00:18:49,2790,9,,0,0,4.8661,sjrtd_2015_0127
201382,00:20:00,00:20:00,3141,10,,0,0,5.1521,sjrtd_2015_0127
201382,00:22:42,00:22:42,2801,11,,0,0,5.8079,sjrtd_2015_0127
201382,00:23:59,00:23:59,2802,12,,0,0,6.1227,sjrtd_2015_0127
201382,00:27:19,00:27:19,902,13,,0,0,6.9342,sjrtd_2015_0127
201382,00:27:26,00:27:26,3266,14,,0,0,6.9633,sjrtd_2015_0127
201382,00:30:17,00:30:17,2766,15,,0,0,7.655,sjrtd_2015_0127
201382,00:32:01,00:32:01,2767,16,,0,0,8.0778,sjrtd_2015_0127
201382,00:32:41,00:32:41,2768,17,,0,0,8.2434,sjrtd_2015_0127
201382,00:34:31,00:34:31,2769,18,,0,0,8.688,sjrtd_2015_0127
201382,00:36:00,00:36:00,2770,19,,0,0,9.0504,sjrtd_2015_0127
201382,00:37:16,00:37:16,2771,20,,0,0,9.3582,sjrtd_2015_0127
201382,00:38:51,00:38:51,2772,21,,0,0,9.7422,sjrtd_2015_0127
201382,00:39:56,00:39:56,2773,22,,0,0,10.0067,sjrtd_2015_0127
201382,00:41:10,00:41:10,2774,23,,0,0,10.3055,sjrtd_2015_0127
201382,00:41:17,00:41:17,765,24,,0,0,10.3366,sjrtd_2015_0127
201382,00:42:20,00:42:20,2775,25,,0,0,10.5916,sjrtd_2015_0127
201382,00:43:16,00:43:16,2776,26,,0,0,10.8203,sjrtd_2015_0127
201382,00:44:43,00:44:43,2990,27,,0,0,11.1751,sjrtd_2015_0127
201382,00:50:00,00:50:00,3179,28,,0,0,12.4205,sjrtd_2015_0127
201385,00:00:00,00:00:00,3179,1,,0,0,,sjrtd_2015_0127
201385,00:05:10,00:05:10,2691,2,,0,0,1.3345,sjrtd_2015_0127
201385,00:06:11,00:06:11,2692,3,,0,0,1.5979,sjrtd_2015_0127
201385,00:08:28,00:08:28,2693,4,,0,0,2.1881,sjrtd_2015_0127
201385,00:09:49,00:09:49,2694,5,,0,0,2.5381,sjrtd_2015_0127
201385,00:10:59,00:10:59,2695,6,,0,0,2.8414,sjrtd_2015_0127
201385,00:13:03,00:13:03,2696,7,,0,0,3.377,sjrtd_2015_0127
201385,00:16:20,00:16:20,2789,8,,0,0,4.2248,sjrtd_2015_0127
201385,00:18:49,00:18:49,2790,9,,0,0,4.8661,sjrtd_2015_0127
201385,00:20:00,00:20:00,3141,10,,0,0,5.1521,sjrtd_2015_0127
201385,00:22:42,00:22:42,2801,11,,0,0,5.8079,sjrtd_2015_0127
201385,00:23:59,00:23:59,2802,12,,0,0,6.1227,sjrtd_2015_0127
201385,00:27:19,00:27:19,902,13,,0,0,6.9342,sjrtd_2015_0127
201385,00:27:26,00:27:26,3266,14,,0,0,6.9633,sjrtd_2015_0127
201385,00:30:17,00:30:17,2766,15,,0,0,7.655,sjrtd_2015_0127
201385,00:32:01,00:32:01,2767,16,,0,0,8.0778,sjrtd_2015_0127
